Purchase Order,EAN,UoM,Unit Price,Store,Qty
3096226602,'5060668837900,Each,18.5,0268,5
3096226602,'5061011621375,Each,18.5,0248,5
3096226602,'5061011621436,Each,18.5,0216,5
3096226602,'5061011621450,Each,22,0214,5
3096226602,'5061011621382,Each,18.5,0214,5
3096226602,'5060668831380,Each,18.5,0216,5
3096226602,'5060668831380,Each,18.5,0230,5
3096226602,'5060668831380,Each,18.5,0247,5
3096226602,'5060668831045,Each,17.5,0248,5
